id,type,instance,status,#connections,inputs (#post),outputs (#pre),#voxels,ADMN(L) post,ADMN(L) pre,ADMN(R) post,ADMN(R) pre,ANm post,ANm pre,AbN1(L) post,AbN1(L) pre,AbN1(R) post,AbN1(R) pre,AbN2(L) post,AbN2(L) pre,AbN2(R) post,AbN2(R) pre,AbN3(L) post,AbN3(L) pre,AbN3(R) post,AbN3(R) pre,AbN4(L) post,AbN4(L) pre,AbN4(R) post,AbN4(R) pre,AbNT post,AbNT pre,CV post,CV pre,CvN(L) post,CvN(L) pre,CvN(R) post,CvN(R) pre,DMetaN(L) post,DMetaN(L) pre,DMetaN(R) post,DMetaN(R) pre,DProN(L) post,DProN(L) pre,DProN(R) post,DProN(R) pre,HTct(UTct-T3)(L) post,HTct(UTct-T3)(L) pre,HTct(UTct-T3)(R) post,HTct(UTct-T3)(R) pre,IntTct post,IntTct pre,LTct post,LTct pre,LegNp(T1)(L) post,LegNp(T1)(L) pre,LegNp(T1)(R) post,LegNp(T1)(R) pre,LegNp(T2)(L) post,LegNp(T2)(L) pre,LegNp(T2)(R) post,LegNp(T2)(R) pre,LegNp(T3)(L) post,LegNp(T3)(L) pre,LegNp(T3)(R) post,LegNp(T3)(R) pre,MesoAN(L) post,MesoAN(L) pre,MesoAN(R) post,MesoAN(R) pre,MesoLN(L) post,MesoLN(L) pre,MesoLN(R) post,MesoLN(R) pre,MetaLN(L) post,MetaLN(L) pre,MetaLN(R) post,MetaLN(R) pre,NTct(UTct-T1)(L) post,NTct(UTct-T1)(L) pre,NTct(UTct-T1)(R) post,NTct(UTct-T1)(R) pre,Ov(L) post,Ov(L) pre,Ov(R) post,Ov(R) pre,PDMN(L) post,PDMN(L) pre,PDMN(R) post,PDMN(R) pre,PrN(L) post,PrN(L) pre,PrN(R) post,PrN(R) pre,ProAN(L) post,ProAN(L) pre,ProAN(R) post,ProAN(R) pre,ProCN(L) post,ProCN(L) pre,ProCN(R) post,ProCN(R) pre,ProLN(L) post,ProLN(L) pre,ProLN(R) post,ProLN(R) pre,VProN(L) post,VProN(L) pre,VProN(R) post,VProN(R) pre,WTct(UTct-T2)(L) post,WTct(UTct-T2)(L) pre,WTct(UTct-T2)(R) post,WTct(UTct-T2)(R) pre,mVAC(T1)(L) post,mVAC(T1)(L) pre,mVAC(T1)(R) post,mVAC(T1)(R) pre,mVAC(T2)(L) post,mVAC(T2)(L) pre,mVAC(T2)(R) post,mVAC(T2)(R) pre,mVAC(T3)(L) post,mVAC(T3)(L) pre,mVAC(T3)(R) post,mVAC(T3)(R) pre
10605,IN06B012,IN06B012_T2_L,Traced,2,7598,2467,4222721848,97,192,1087,301,840,63,259,220,106,288,869,274,150,331,152,446,95,313,9,,13,10,3298,23,332,1,187,1,101,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49484764260,,,,1,0,1,140486,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44118314578,,,,1,2,1,47838,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40814295203,,,,1,2,1,299888,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41638542245,,,,1,0,3,804050,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30523631837,,,,1,9,1,749769,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157444,IN07B100,IN07B100_A1_R,Traced,1,403,198,265996383,13,1,21,63,319,,43,89,7,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159125,IN18B051,IN18B051_T3_R,Traced,1,705,349,517385059,11,2,14,6,49,89,96,95,511,145,8,,9,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156206,IN12A057,IN12A057_T2_L,Traced,1,2005,282,515539706,96,17,3,,1424,145,218,16,127,13,117,61,19,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101337,IN12A060,IN12A060_T2_L,Traced,1,1856,289,483157788,1164,191,560,46,2,,14,,116,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
