id,type,instance,status,#connections,inputs (#post),outputs (#pre),#voxels,ADMN(L) post,ADMN(L) pre,ADMN(R) post,ADMN(R) pre,ANm post,ANm pre,AbN1(L) post,AbN1(L) pre,AbN1(R) post,AbN1(R) pre,AbN2(L) post,AbN2(L) pre,AbN2(R) post,AbN2(R) pre,AbN3(L) post,AbN3(L) pre,AbN3(R) post,AbN3(R) pre,AbN4(L) post,AbN4(L) pre,AbN4(R) post,AbN4(R) pre,AbNT post,AbNT pre,CV post,CV pre,CvN(L) post,CvN(L) pre,CvN(R) post,CvN(R) pre,DMetaN(L) post,DMetaN(L) pre,DMetaN(R) post,DMetaN(R) pre,DProN(L) post,DProN(L) pre,DProN(R) post,DProN(R) pre,HTct(UTct-T3)(L) post,HTct(UTct-T3)(L) pre,HTct(UTct-T3)(R) post,HTct(UTct-T3)(R) pre,IntTct post,IntTct pre,LTct post,LTct pre,LegNp(T1)(L) post,LegNp(T1)(L) pre,LegNp(T1)(R) post,LegNp(T1)(R) pre,LegNp(T2)(L) post,LegNp(T2)(L) pre,LegNp(T2)(R) post,LegNp(T2)(R) pre,LegNp(T3)(L) post,LegNp(T3)(L) pre,LegNp(T3)(R) post,LegNp(T3)(R) pre,MesoAN(L) post,MesoAN(L) pre,MesoAN(R) post,MesoAN(R) pre,MesoLN(L) post,MesoLN(L) pre,MesoLN(R) post,MesoLN(R) pre,MetaLN(L) post,MetaLN(L) pre,MetaLN(R) post,MetaLN(R) pre,NTct(UTct-T1)(L) post,NTct(UTct-T1)(L) pre,NTct(UTct-T1)(R) post,NTct(UTct-T1)(R) pre,Ov(L) post,Ov(L) pre,Ov(R) post,Ov(R) pre,PDMN(L) post,PDMN(L) pre,PDMN(R) post,PDMN(R) pre,PrN(L) post,PrN(L) pre,PrN(R) post,PrN(R) pre,ProAN(L) post,ProAN(L) pre,ProAN(R) post,ProAN(R) pre,ProCN(L) post,ProCN(L) pre,ProCN(R) post,ProCN(R) pre,ProLN(L) post,ProLN(L) pre,ProLN(R) post,ProLN(R) pre,VProN(L) post,VProN(L) pre,VProN(R) post,VProN(R) pre,WTct(UTct-T2)(L) post,WTct(UTct-T2)(L) pre,WTct(UTct-T2)(R) post,WTct(UTct-T2)(R) pre,mVAC(T1)(L) post,mVAC(T1)(L) pre,mVAC(T1)(R) post,mVAC(T1)(R) pre,mVAC(T2)(L) post,mVAC(T2)(L) pre,mVAC(T2)(R) post,mVAC(T2)(R) pre,mVAC(T3)(L) post,mVAC(T3)(L) pre,mVAC(T3)(R) post,mVAC(T3)(R) pre
21685,DNb04,DNxn120_CvC_L,Traced,2,137,689,789847361,5,3,12,64,2,15,47,190,26,135,8,48,3,14,5,22,26,128,3,50,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19370,AN07B052,AN07B052_T1_R,Traced,2,1088,203,599170315,1,,473,35,8,,53,57,37,,59,111,419,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18637,AN19B076,AN19B076_T3_R,Traced,2,894,187,649652077,50,140,801,2,7,8,6,,24,37,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19004,AN08B079,AN08B079_T3_R,Traced,2,1329,319,627960874,1,,6,24,332,32,824,223,35,6,8,1,17,28,10,,95,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18339,DNg04,DNut012_CvC_L,Traced,2,212,562,674185618,7,1,95,259,63,141,27,76,18,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17898,DNp51,DNxn083_CvC_L,Traced,2,180,487,659690190,2,1,73,174,72,197,33,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17554,AN19B059,AN19B059_T3_R,Traced,2,1260,333,669698446,1,,,1,88,181,973,,12,31,164,,20,96,2,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16105,IN19B045,IN19B045_T2_R,Traced,2,1628,490,898179180,1,6,165,350,336,19,430,23,,1,13,,1,2,52,,2,,23,52,600,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15546,DNg71,DNxn062_CvC_L,Traced,2,158,853,967686898,2,1,49,236,58,315,1,9,48,290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16025,AN03B039,AN03B039_T2_L,Traced,2,3772,890,1170381644,5,,611,76,2487,564,209,23,13,,29,172,418,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15078,AN06B045,AN06B045_A1_R,Traced,2,1189,608,1087516747,28,10,124,296,868,13,81,177,,8,51,2,21,78,16,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13587,IN06A020,IN06A020_T3_L,Traced,2,4259,766,1514137168,335,201,,,3290,444,65,26,183,16,337,31,28,45,19,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13405,DNxn007,DNxn007_CvC_R,Traced,2,422,1180,1371614375,,3,5,5,65,191,96,225,112,350,32,136,3,6,3,27,4,23,3,19,1,22,35,68,42,53,6,10,11,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12910,AN06B023,AN06B023_T2_R,Traced,2,5246,1759,1985262123,1,,116,642,942,373,612,3,11,19,111,1,,4,103,513,2629,12,718,191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12431,DNb01,DNxn005_CvC_L,Traced,2,264,1059,1774372151,8,5,79,195,108,455,5,47,1,7,25,141,8,55,7,74,22,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12155,DNxn123,DNxn123_CvC_L,Traced,2,556,1247,1918326172,15,6,206,465,213,448,3,2,102,289,13,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11497,DNxn124,DNxn124_CvC_R,Traced,2,550,2239,2423842038,3,63,5,1,80,285,73,355,197,496,77,179,3,7,1,12,4,41,5,47,23,137,20,162,25,232,33,221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10814,IN27X007,IN27X007_T1_L,Traced,2,3864,2709,3484108613,46,109,820,736,543,608,487,291,187,96,79,13,10,,14,13,28,44,15,15,193,124,91,61,46,1,937,384,358,163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10528,AN19A018,AN19A018_T2_L,Traced,2,6600,956,4237925744,11,4,162,513,17,62,79,310,6,54,6276,,,1,1,1,1,2,38,,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10126,DNa02,DNxl002_CvC_L,Traced,2,880,2509,6459395030,11,60,16,6,117,278,53,139,262,843,183,465,166,549,56,164,11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48239589821,,,,1,0,1,11730,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47825733835,,,,1,0,1,37617,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47825698057,,,,1,0,1,197104,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47411804150,,,,1,0,1,365660,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46997914699,,,,1,0,1,104775,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52353748321,,,,1,0,1,328596,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52353746093,,,,1,0,2,381533,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50712331884,,,,1,0,1,221311,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50301972762,,,,1,0,1,56229,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50298434816,,,,1,0,1,259895,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44521680227,,,,1,0,1,101250,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48649941857,,,,1,1,1,1081459,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44935529139,,,,1,0,1,8894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44111238872,,,,1,2,1,223656,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41224649722,,,,1,4,1,810068,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42452177371,,,,1,2,1,796245,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38737564873,,,,1,3,4,1312066,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32168546526,,,,1,1,2,835595,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29695888115,,,,1,0,1,14921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29667425905,,,,1,0,1,11238,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33388683895,,,,1,9,1,676340,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28853829139,,,,1,0,1,18079,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28853788580,,,,1,0,1,134588,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28850212546,,,,1,3,6,1547114,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27223101720,,,,1,5,1,323743,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37106908784,,,,1,0,1,1254441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31351415260,,,,1,3,8,3611229,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31337067968,,,,1,2,1,4985,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30106236786,,,,1,0,1,48476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35875844724,,,,1,0,1,35260,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32578861173,,,,1,7,4,844203,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32575166465,,,,1,1,1,10039,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24760975585,,,,1,0,1,4017,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26398621259,,,,1,4,3,3612019,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26388280355,,,,1,2,4,1236017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28447054490,,,,1,1,1,22090,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164383,IN11B022,IN11B022_T2_L,Traced,1,793,159,263021715,361,112,275,34,157,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159628,IN02A052,IN02A052_T3_L,Traced,1,595,161,306837093,463,139,119,16,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166784,IN08B080,IN08B080_T2_R,Traced,1,1628,487,643038302,1,2,70,260,688,140,526,,105,,13,58,113,,19,25,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155842,IN07B102,IN07B102_A1_L,Traced,1,335,164,345287259,251,1,61,133,15,30,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166246,IN11B022,IN11B022_T2_L,Traced,1,819,115,235386787,668,86,124,26,27,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154368,IN12A060,IN12A060_T2_L,Traced,1,1429,279,434276604,617,160,386,38,119,13,304,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159900,IN06A097,IN06A097_T3_R,Traced,1,1036,310,404672854,29,,42,292,939,1,22,,4,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157625,IN11B017,IN11B017_T2_L,Traced,1,1220,165,481572007,924,147,115,7,10,,170,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145189,,,,1,6,10,4379453,3,5,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152347,IN11B016,IN11B016_T2_L,Traced,1,1078,159,599118432,222,59,375,12,34,2,184,10,263,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139432,,,,1,1,4,920673,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135616,,,,1,1,4,339668,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103576,IN12A063,IN12A063_T2_R,Traced,1,560,162,360498809,172,51,215,58,72,2,17,4,2,1,14,17,67,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102018,IN19B105,IN19B105_T3_R,Traced,1,792,269,312706085,145,170,582,,19,26,4,,15,37,27,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101435,IN00A053,IN00A053_T1_M,Traced,1,1169,379,530838180,26,3,744,233,223,34,,2,81,22,55,51,28,34,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101336,IN11A031,IN11A031_T2_L,Traced,1,1948,435,453488733,387,101,43,40,1080,184,66,1,39,2,333,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69961,,TBD,0.5assign,1,78,14,11971121,78,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30443,IN11B022,IN11B022_T2_L,Traced,1,839,214,282980535,481,142,245,52,113,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28826,IN11B023,IN11B023_T2_L,Traced,1,738,158,281020458,593,104,110,36,35,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29343,IN02A053,IN02A053_T1_L,Traced,1,306,149,279992442,146,42,151,89,6,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28331,IN07B099,IN07B099_T3_L,Traced,1,891,165,282728373,758,64,20,19,25,19,45,6,41,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28786,IN08B108,IN08B108_T3_R,Traced,1,982,333,463699085,94,149,720,3,104,177,1,2,1,,59,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30239,IN06A126,IN06A126_T3_L,Traced,1,444,203,263959916,402,3,20,112,19,61,1,,2,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28235,IN06A083,IN06A083_T3_R,Traced,1,397,235,434348704,22,54,343,,10,6,,4,1,,19,171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28627,IN06A097,IN06A097_T3_R,Traced,1,908,262,330597417,38,257,866,,1,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26583,IN06A129,IN06A129_A1_R,Traced,1,480,128,277146238,28,15,72,91,361,,16,22,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25931,DNa07,DNut003_CvC_L,Traced,1,176,356,335224104,4,,45,57,18,30,29,89,2,5,18,35,38,91,21,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
